participant_num,trial_index,stimulus,task,word,correct,reaction_time,length,lgSUBTLWF,freqGroup
5,20,nothing,lexical_decision,TRUE,TRUE,1022,7,4.639,high
5,21,splinth,lexical_decision,FALSE,TRUE,1201,NA,NA,nonword
5,22,think,lexical_decision,TRUE,TRUE,689,5,5.138,high
5,23,taunt,lexical_decision,TRUE,TRUE,925,5,1.518,low
5,24,threp,lexical_decision,FALSE,TRUE,775,NA,NA,nonword
5,25,ploke,lexical_decision,FALSE,TRUE,1023,NA,NA,nonword
5,26,tromple,lexical_decision,FALSE,TRUE,740,NA,NA,nonword
5,27,fphql,lexical_decision,FALSE,TRUE,749,NA,NA,nonword
5,28,sorry,lexical_decision,TRUE,TRUE,698,5,4.775,high
5,29,snackle,lexical_decision,FALSE,FALSE,1270,NA,NA,nonword
5,30,maybe,lexical_decision,TRUE,TRUE,1155,5,4.674,high
5,31,plimber,lexical_decision,FALSE,FALSE,502,NA,NA,nonword
5,32,woven,lexical_decision,TRUE,TRUE,1255,5,1.518,low
5,33,zvxqrdt,lexical_decision,FALSE,TRUE,575,NA,NA,nonword
5,34,talking,lexical_decision,TRUE,TRUE,882,7,4.405,high
5,35,knitted,lexical_decision,TRUE,TRUE,835,7,1.532,low
5,36,going,lexical_decision,TRUE,TRUE,757,5,5.035,high
5,37,glonick,lexical_decision,FALSE,TRUE,782,NA,NA,nonword
5,38,denim,lexical_decision,TRUE,TRUE,703,5,1.532,low
5,39,trinity,lexical_decision,TRUE,TRUE,652,7,2.176,low
5,40,cjvgy,lexical_decision,FALSE,TRUE,606,NA,NA,nonword
5,41,blong,lexical_decision,FALSE,TRUE,863,NA,NA,nonword
5,42,qwsdfge,lexical_decision,FALSE,TRUE,510,NA,NA,nonword
5,43,thought,lexical_decision,TRUE,TRUE,809,7,4.615,high
5,44,tpszk,lexical_decision,FALSE,TRUE,651,NA,NA,nonword
5,45,ptwxlbn,lexical_decision,FALSE,TRUE,579,NA,NA,nonword
5,46,tipsy,lexical_decision,TRUE,TRUE,576,5,1.532,low
5,47,lbmwq,lexical_decision,FALSE,TRUE,535,NA,NA,nonword
5,48,brote,lexical_decision,FALSE,FALSE,639,NA,NA,nonword
5,49,aided,lexical_decision,TRUE,TRUE,1940,5,1.532,low
5,50,doing,lexical_decision,TRUE,TRUE,1733,5,4.72,high
5,51,another,lexical_decision,TRUE,TRUE,740,7,4.415,high
5,52,trilogy,lexical_decision,TRUE,TRUE,728,7,1.518,low
5,53,vqnfksp,lexical_decision,FALSE,TRUE,653,NA,NA,nonword
5,54,ribbons,lexical_decision,TRUE,TRUE,672,7,2.176,low
5,55,morning,lexical_decision,TRUE,TRUE,685,7,4.35,high
5,56,gkfjvmd,lexical_decision,FALSE,TRUE,591,NA,NA,nonword
5,57,sized,lexical_decision,TRUE,TRUE,685,5,1.518,low
5,58,ptbwx,lexical_decision,FALSE,TRUE,602,NA,NA,nonword
5,59,glarp,lexical_decision,FALSE,TRUE,916,NA,NA,nonword
5,60,claster,lexical_decision,FALSE,TRUE,947,NA,NA,nonword
5,61,bkgtl,lexical_decision,FALSE,TRUE,513,NA,NA,nonword
5,62,right,lexical_decision,TRUE,TRUE,564,5,5.311,high
5,63,looking,lexical_decision,TRUE,TRUE,635,7,4.344,high
5,64,flirp,lexical_decision,FALSE,TRUE,788,NA,NA,nonword
5,65,lxzctgr,lexical_decision,FALSE,TRUE,866,NA,NA,nonword
6,2,right,lexical_decision,TRUE,TRUE,1389,5,5.311,high
6,3,tipsy,lexical_decision,TRUE,FALSE,1295,5,1.532,low
6,4,qwsdf,lexical_decision,FALSE,TRUE,839,NA,NA,nonword
6,5,splinth,lexical_decision,FALSE,TRUE,1663,NA,NA,nonword
6,6,sorry,lexical_decision,TRUE,TRUE,799,5,4.775,high
6,7,doing,lexical_decision,TRUE,TRUE,759,5,4.72,high
6,8,knitted,lexical_decision,TRUE,TRUE,1119,7,1.532,low
6,9,maybe,lexical_decision,TRUE,TRUE,743,5,4.674,high
6,10,ptbwx,lexical_decision,FALSE,TRUE,783,NA,NA,nonword
6,11,zvxqrdt,lexical_decision,FALSE,TRUE,575,NA,NA,nonword
6,12,fphql,lexical_decision,FALSE,TRUE,776,NA,NA,nonword
6,13,kwilt,lexical_decision,FALSE,TRUE,567,NA,NA,nonword
6,14,pasty,lexical_decision,TRUE,TRUE,1111,5,1.505,low
6,15,thought,lexical_decision,TRUE,FALSE,1927,7,4.615,high
6,16,bkgtl,lexical_decision,FALSE,TRUE,1679,NA,NA,nonword
6,17,believe,lexical_decision,TRUE,TRUE,831,7,4.504,high
6,18,tromple,lexical_decision,FALSE,TRUE,1255,NA,NA,nonword
6,19,inhabit,lexical_decision,TRUE,TRUE,1408,7,1.532,low
6,20,through,lexical_decision,TRUE,TRUE,751,7,4.448,high
6,21,heaving,lexical_decision,TRUE,TRUE,720,7,1.505,low
6,22,ploke,lexical_decision,FALSE,FALSE,2055,NA,NA,nonword
6,23,snackle,lexical_decision,FALSE,FALSE,1479,NA,NA,nonword
6,24,going,lexical_decision,TRUE,TRUE,1375,5,5.035,high
6,25,blong,lexical_decision,FALSE,TRUE,1447,NA,NA,nonword
6,26,frosket,lexical_decision,FALSE,TRUE,1263,NA,NA,nonword
6,27,woven,lexical_decision,TRUE,TRUE,1095,5,1.518,low
6,28,tpszk,lexical_decision,FALSE,TRUE,743,NA,NA,nonword
6,29,vqnfksp,lexical_decision,FALSE,TRUE,584,NA,NA,nonword
6,30,looking,lexical_decision,TRUE,TRUE,879,7,4.344,high
6,31,talking,lexical_decision,TRUE,TRUE,631,7,4.405,high
6,32,stend,lexical_decision,FALSE,TRUE,999,NA,NA,nonword
6,33,claster,lexical_decision,FALSE,TRUE,2647,NA,NA,nonword
6,34,brendle,lexical_decision,FALSE,TRUE,1487,NA,NA,nonword
6,35,where,lexical_decision,TRUE,TRUE,704,5,4.97,high
6,36,threp,lexical_decision,FALSE,TRUE,760,NA,NA,nonword
6,37,trilogy,lexical_decision,TRUE,FALSE,879,7,1.518,low
6,38,ribbons,lexical_decision,TRUE,TRUE,751,7,2.176,low
6,39,think,lexical_decision,TRUE,TRUE,816,5,5.138,high
6,40,gkfjvmd,lexical_decision,FALSE,TRUE,679,NA,NA,nonword
6,41,trinity,lexical_decision,TRUE,TRUE,1031,7,2.176,low
6,42,brote,lexical_decision,FALSE,TRUE,783,NA,NA,nonword
6,43,thing,lexical_decision,TRUE,TRUE,912,5,4.745,high
6,44,bcrztxl,lexical_decision,FALSE,TRUE,671,NA,NA,nonword
6,45,morning,lexical_decision,TRUE,TRUE,687,7,4.35,high
6,46,cjvgy,lexical_decision,FALSE,TRUE,927,NA,NA,nonword
6,47,hmfjpwb,lexical_decision,FALSE,TRUE,623,NA,NA,nonword
6,48,glonick,lexical_decision,FALSE,TRUE,688,NA,NA,nonword
6,49,taunt,lexical_decision,TRUE,TRUE,1103,5,1.518,low
6,50,glarp,lexical_decision,FALSE,TRUE,1391,NA,NA,nonword
6,51,ptwxlbn,lexical_decision,FALSE,TRUE,976,NA,NA,nonword
6,52,denim,lexical_decision,TRUE,TRUE,919,5,1.532,low
6,53,nothing,lexical_decision,TRUE,TRUE,720,7,4.639,high
6,54,qwsdfge,lexical_decision,FALSE,TRUE,687,NA,NA,nonword
6,55,platter,lexical_decision,TRUE,TRUE,967,7,2.176,low
6,56,lxzctgr,lexical_decision,FALSE,TRUE,720,NA,NA,nonword
6,57,flirp,lexical_decision,FALSE,TRUE,999,NA,NA,nonword
6,58,aided,lexical_decision,TRUE,TRUE,799,5,1.532,low
6,59,plimber,lexical_decision,FALSE,TRUE,1543,NA,NA,nonword
